Título,Rating,Porciones,Tiempo total,Ingredientes,Descripción,Pasos,Nutrición
Shrimp Egg Salad,4.3,4,15 mins,"['1 pound cooked shrimp - peeled, deveined, and chopped', '4  hard-cooked eggs, chopped', '4 tablespoons mayonnaise', '1 teaspoon Dijon mustard', '1 sprig chopped fresh dill', '4 leaves green leaf lettuce']",This shrimp and egg salad recipe was inspired by the open-face shrimp sandwich served at Ikea's cafeteria and my love of deviled eggs.,"['In a medium bowl, mix together shrimp, eggs, mayonnaise, mustard, and dill. Spoon onto lettuce leaves to serve.']","{'Calories': '292', 'Fat': '18g', 'Carbs': '2g', 'Protein': '30g'}"
Cindi's Egg Rolls,4.6,12,1 hr 20 mins,"['4 tablespoons vegetable oil, divided', '1 pound lean boneless pork, cut into thin strips', '4 cups shredded cabbage', '1 large carrot, shredded', '½  green bell pepper, cut into thin strips', '1 medium onion, chopped', '3 cloves garlic, minced', '3 teaspoons fresh ginger root, grated', '1 tablespoon cornstarch', '2 tablespoons soy sauce', '1 ½ tablespoons molasses', '2 tablespoons vegetable oil', '1 quart oil for frying', '1 ½ (14 ounce) packages egg roll wrappers', '¼ cup water, as needed', '1 ½ cups sweet and sour sauce for dipping']","These are the best-tasting egg rolls you'll ever have. They're even better than the ones served at Asian restaurants. My family just loves them. What's even better is that you can use a variety of different meats--ground beef, pork steak, seasoned ground pork sausage, precooked shrimp--or prepare them without meat for the vegetarians.","['Heat 2 tablespoons vegetable oil in large wok over medium-high heat. Stir-fry pork for 3 minutes. Transfer pork to paper towel-lined plate and set aside.', 'In a large bowl, mix the cabbage, carrot, green bell pepper, onion, garlic and ginger. In a small bowl, mix the cornstarch, soy sauce, and molasses until smooth.', 'Heat 2 tablespoons oil in wok. Stir in cabbage mixture in batches, cooking each batch 3 to 4 minutes, just until tender. Return vegetables to bowl, and mix in pork. Stir in the cornstarch mixture.', ""Prepare a work surface for rolling the egg rolls. Lay several egg roll wrappers in a row. Place the water in a small bowl; you'll use this for sealing."", ""Place about 2 to 3 tablespoons filling on each egg roll wrapper. Dip a finger in the water and run it along the edge of the wrapper. Fold one corner of wrapper over filling. Fold wrapper sides over filling. Roll wrappers to form egg rolls (See Cook's Note)."", 'Heat 1 quart oil in a deep fryer to 365 degrees F (185 degrees C).', 'Fry egg rolls in batches in the hot oil until golden brown. Drain on paper towels and serve with sweet and sour sauce.']","{'Calories': '393', 'Fat': '18g', 'Carbs': '43g', 'Protein': '14g'}"
Hong Kong Style Egg Tarts,4.0,12,45 mins,"[""1 cup confectioners' sugar"", '3 cups all-purpose flour', '1 cup butter', '1  egg, beaten', '1 dash vanilla extract', '⅔ cup white sugar', '1 ½ cups water', '9  eggs, beaten', '1 dash vanilla extract', '1 cup evaporated milk']","Very easy to make Chinese style Egg Tart, you can put the leftovers in the refrigerator for later use for up to 3 days. You can reduce the sugar used on the crust and the filling to fit your taste, this recipe is lightly sweetened. If you want to you, can add more sugar to the filling. Hope you enjoy it!","[""In a medium bowl, mix together the confectioners' sugar and flour. Mix in butter with a fork until it is in small crumbs. Stir in the egg and vanilla until the mixture forms a dough. The texture should be slightly moist. Add more butter if it is too dry, or more flour, if the dough seems greasy. Shape dough into 1 1/2 inch balls, and press the balls into tart molds so that it covers the bottom, and goes up higher than the sides. Use 2 fingers to shape the edge into an A shape."", 'Preheat the oven to 450 degrees F (230 degrees C). Combine the white sugar and water in a medium saucepan, and bring to a boil. Cook until the sugar is dissolved, remove from heat and cool to room temperature. Strain the eggs through a sieve, and whisk into the sugar mixture. Stir in the evaporated milk and vanilla. Strain the filling through a sieve, and fill the tart shells.', 'Bake for 15 to 20 minutes in the preheated oven, until golden brown, and the filling is puffed up a little bit.']","{'Calories': '421', 'Fat': '21g', 'Carbs': '48g', 'Protein': '10g'}"
Authentic Chinese Egg Rolls (from a Chinese person),4.7,20,2 hrs 30 mins,"['4 teaspoons vegetable oil, divided', '3 large eggs, beaten', '1 medium head cabbage, finely shredded', '½  carrot, julienned', '1 pound Chinese barbequed or roasted pork, cut into matchsticks', '1 (8 ounce) can shredded bamboo shoots', '1 cup dried, shredded wood ear mushroom, rehydrated', '2  green onions, thinly sliced', '2 ½ teaspoons soy sauce', '1 teaspoon salt', '1 teaspoon sugar', '½ teaspoon monosodium glutamate (MSG)', '1 (14 ounce) package egg roll wrappers', '1  egg white, beaten', '4 cups oil for frying, or as needed']","This egg rolls recipe came from my mom who is the best cook ever — and I am a picky eater! If I like this, then you will. This is very authentic because my family is Chinese and I am too. This recipe is at least 300 years old in the Ling family.","['Heat 1 teaspoon vegetable oil in a wok or large skillet over medium heat. Pour in beaten eggs and cook, without stirring, until firmed up. Flip eggs over and cook for an additional 20 seconds to firm the other side. Set egg pancake aside to cool, then slice into thin strips.', 'Heat remaining vegetable oil in a wok or large skillet over high heat. Stir in cabbage and carrot; cook for 2 minutes to wilt. Add pork, bamboo shoots, mushroom, green onions, soy sauce, salt, sugar, and MSG; continue cooking until vegetables soften, about 6 minutes. Stir in sliced egg, then spread the mixture out onto a pan, and refrigerate until cold, about 1 hour.', 'To assemble the egg rolls: Place a wrapper onto your work surface with one corner pointing towards you. Place about 3 tablespoons of cooled filling in a heap onto the bottom third of the wrapper. Brush a little beaten egg white onto the top two edges of the wrapper, then fold the bottom corner over the filling and roll firmly to the halfway point. Fold the left and right sides snugly over the egg roll, then continue rolling until the top corners seal the egg roll with the egg white. Repeat with remaining egg roll wrappers, covering finished egg rolls with plastic wrap to keep from drying out.', 'Heat about 6 inches of oil in a wok or deep-fryer to 350 degrees F (175 degrees C).', 'Fry egg rolls 3 or 4 at a time until golden brown, 5 to 7 minutes. Drain on paper towels.']","{'Calories': '169', 'Fat': '7g', 'Carbs': '16g', 'Protein': '10g'}"
A Number-One Egg Bread,4.5,18,3 hrs 25 mins,"['2 (.25 ounce) packages active dry yeast', '⅔ cup warm water (110 degrees F/45 degrees C)', '6 large egg yolks', '4 large eggs, at room temperature, divided', '½ cup vegetable oil', '¼ cup white sugar', '1 teaspoon salt', '4 ½ cups all-purpose flour, divided', '1 pinch salt']","This egg bread recipe comes from two older ladies in Hawaii, and it makes all other egg bread look weak. It's amazing when used for bread pudding and French toast, and try cutting it into chunks for fondue — wow!","['Gather all ingredients.', 'Dissolve yeast in warm water in a large bowl. Let stand until yeast softens and begins to form a creamy foam, about 5 minutes.', 'Stir in egg yolks, 3 whole eggs, oil, sugar, and salt. Mix in 3 ½ cups of flour to make a sticky dough.', 'Turn dough out onto a lightly floured surface. Knead with remaining 1 cup flour until smooth and elastic, about 7 minutes.', 'Transfer dough to a well-oiled bowl and turn until entire surface is coated with oil.', 'Cover dough with a damp cloth and let rise in a warm place until doubled in volume, about 1 ½ hours.', 'Punch down the dough and divide into thirds. Roll each piece of dough into a 12-inch long rope.', 'Braid the three strands together and seal the ends.', 'Transfer dough to a greased cookie sheet. Whisk remaining egg with a pinch of salt; brush on top and sides of bread. Set egg wash aside.', 'Let dough rise until doubled in volume, about 45 minutes.', 'Preheat the oven to 375 degrees F (190 degrees C). Brush bread again with egg wash.', 'Bake bread in the preheated oven until golden, about 40 minutes. Cool on a wire rack.']","{'Calories': '214', 'Fat': '9g', 'Carbs': '27g', 'Protein': '6g'}"
Mexican Egg Rolls,4.4,14,30 mins,"['1 (14 ounce) package egg roll wrappers', '1 pound lean ground beef', '1 (1.25 ounce) package taco seasoning mix', '1 (4 ounce) can diced green chilies, drained', '2 cups shredded pepper Jack cheese', '4 cups oil for frying, or as needed']","These birria egg rolls are easy and delicious! Use them as an appetizer or a main dish. As an appetizer, serve with salsa. As a main dish, serve on a bed of lettuce with all the taco fixings you love.","['Crumble ground beef into a large skillet over medium-high heat. Cook until evenly browned, then drain off grease. Add taco seasoning and cook according to package directions. Set aside.', 'Heat 1-inch-deep oil in a large skillet or preheat a deep fryer to 375 degrees F (190 degrees C).', 'Lay out one egg roll wrapper at a time. Place a rounded tablespoon of seasoned ground beef in the center. Top with a small spoonful of green chilies and a little bit of shredded cheese. Roll up according to package instructions, and seal edges, wetting with water if necessary. Repeat with remaining wrappers and filling.', 'Fry rolls in hot oil until golden brown on all sides, about 5 minutes. Remove from oil to drain on paper towels. Serve hot and fresh.']","{'Calories': '286', 'Fat': '17g', 'Carbs': '19g', 'Protein': '13g'}"
Egg-Yolk Sponge Cake,4.3,14,,"['1 ⅔ cups all-purpose flour', '1 ½ teaspoons baking powder', '½ teaspoon salt', '¾ cup egg yolks', '1  egg', '1 ½ cups white sugar', '1 tablespoon orange zest', '1 tablespoon orange juice, strained', '½ teaspoon lemon extract', '¾ cup boiling water']",This is a moist and tender cake with plenty of orange flavor.,"['Preheat oven to 325 degrees F (165 degrees C).', 'Sift together twice: flour, baking powder, and salt. Pour back into sifter.', 'In a large mixing bowl beat egg yolks and whole eggs with an electric mixer until thick and lemon colored (about 5 minutes). Gradually add sugar, beating after each addition. This should take about 10 minutes.', 'Fold in orange rind, orange juice, and lemon extract. Sift dry ingredients into egg and sugar mixture and fold in. Do not stir or beat. Add boiling water and fold in quickly, just until liquid is blended. Pour batter into one ungreased 10 inch tube pan.', ""Bake at 325 degrees F (165 degrees C) for 60 to 65 minutes. Turn cake over in pan on a wire rack and let cake hang for 1 hour or until cool. Loosen cake sides from pan with a spatula and shake from pan. Dust top lightly with confectioner's sugar or frost with Orange Butter Frosting.""]","{'Calories': '185', 'Fat': '4g', 'Carbs': '34g', 'Protein': '4g'}"
Four Egg Yellow Cake,4.1,24,1 hr,"['2 cups white sugar', '1 cup shortening', '4 large eggs', '2 teaspoons vanilla extract', '2 ¾ cups all-purpose flour', '1 tablespoon baking powder', '1 teaspoon salt', '1 ¾ cups milk']",This 4-egg cake recipe is our favorite yellow cake. I usually don't get to put any icing on it before it is gone.,"['Preheat the oven to 350 degrees F (175 degrees C). Grease and flour a 9x13-inch pan.', 'Cream together sugar and shortening. Beat in eggs and vanilla.', 'In a separate bowl, combine flour, baking powder, and salt. Add to creamed mixture alternately with milk. Mix well. Pour batter into the prepared pan.', 'Bake in the preheated oven for 45 minutes, or until cake tests done. Cool.']","{'Calories': '214', 'Fat': '10g', 'Carbs': '29g', 'Protein': '3g'}"
Six-Egg Pound Cake,4.5,14,1 hr 50 mins,"['3 cups all-purpose flour', '1 tablespoon baking powder', '½ teaspoon salt', '2 ½ cups white sugar', '1 ½ cups unsalted butter, softened', '6  eggs', '1 ½ teaspoons vanilla extract', '¾ cup milk']","Made with six eggs, this cake recipe rises up high above all others, resulting in the best pound cake ever. Top with confectioners' sugar or glaze.","['Grease and flour a Bundt pan. Do not preheat the oven.', 'Mix flour, baking powder, and salt together in a bowl.', 'Cream sugar and butter in a large bowl with an electric mixer until light and fluffy. Add eggs, one at a time, beating well after each addition. Add vanilla. Add flour mixture alternately with milk; beat until smooth. Pour batter into the prepared pan.', 'Place cake into the cold oven. Set the temperature to 350 degrees F (175 degrees C); bake until a toothpick inserted into the center comes out clean, 1 to 1 1/2 hours. Cool on a wire rack for 5 minutes. Run a table knife around the edges to loosen. Invert carefully onto a serving plate or cooling rack. Let cool completely, 20 to 30 minutes.']","{'Calories': '449', 'Fat': '22g', 'Carbs': '57g', 'Protein': '6g'}"
Tuna Egg Sandwich,4.3,2,10 mins,"['3  hard-cooked eggs, peeled and chopped', '1 (5 ounce) can tuna, drained', '1 cup chopped celery', '1 tablespoon mayonnaise', 'salt and pepper to taste', '4 slices whole wheat bread']",This tuna salad with egg is simple and quick to make into a hearty sandwich. My grandparents make these and tell me that this is the correct way to make a sandwich!,"['Combine eggs, tuna, celery, and mayonnaise in a medium bowl. Season with salt and pepper to taste.', 'Divide tuna mixture evenly onto two slices of bread; top with remaining slices of bread.']","{'Calories': '389', 'Fat': '16g', 'Carbs': '26g', 'Protein': '33g'}"
Awesome Egg Rolls,4.5,10,1 hr,"['1 tsp vegetable oil, or as needed', '1 large egg, beaten', '6 cups cabbage, shredded', '½ cup fresh bean sprouts', '1 carrot, shredded', '1  celery stalk, diced', '2 tablespoons chopped onion (Optional)', '1 (4 ounce) can shrimp, drained', '2 tablespoons soy sauce', '⅛ teaspoon garlic powder', 'black pepper to taste', '2 tbsp cornstarch, divided', '4 cups vegetable oil for frying, or as needed', '2 tbsp cold water', '20  egg roll wrappers']","This shrimp egg roll recipe takes some time to make, but it's definitely worth the effort. Serve with hot mustard.","['Gather all ingredients.', 'Mix cabbage, bean sprouts, carrot, celery, and onion together in a large bowl.', 'Stir in shrimp, soy sauce, garlic powder, and pepper.', 'Heat 1 teaspoon oil in a nonstick skillet over medium heat. Add egg and cook, without stirring, until the bottom has set. Flip and cook until set on the other side, 1 to 2 minutes.', 'Transfer to a cutting board and finely chop.', 'Stir in chopped egg, then sprinkle 1 tablespoon cornstarch over top. Mix to combine and let sit for 10 minutes.', 'Mix water and remaining 1 tablespoon cornstarch together in a small bowl.', 'Place an egg roll wrapper onto a work surface with one corner pointing away from you like a diamond. Spoon 2 to 3 tablespoons shrimp mixture into the center. Moisten the top and side corners with the wet cornstarch mixture.', 'Fold the dry bottom corner up and over the filling, making a tight tube.', 'Fold the side corners in, pressing to stick against the folded roll, then roll toward the top corner to complete. Repeat to make remaining egg rolls.', 'Heat 3 to 4 inches vegetable oil in a deep fryer to 350 degrees F (175 degrees C). Working in batches, carefully fry egg rolls in the preheated fryer until golden brown, 2 to 4 minutes. Drain on paper towels.']","{'Calories': '1268', 'Fat': '110g', 'Carbs': '57g', 'Protein': '17g'}"
One Egg Lemon Pound Cake,4.0,10,,"['2 cups all-purpose flour', '2 teaspoons baking powder', '1 cup white sugar', '1 teaspoon salt', '½ cup butter', '1  egg', '1 cup milk', '1 teaspoon vanilla extract', '1 teaspoon lemon extract']",My Grandmother used to make this and it quickly became a household favorite.,"['Preheat oven to 350 degrees F (175 degrees C) grease and flour an 8x4 inch loaf pan.', 'In a large bowl, mix flour, baking powder, sugar and salt. Cut in butter. Break 1 egg into a measuring cup and then fill to the 1 cup line with milk. Add to dry ingredients and beat well. Add vanilla and lemon flavoring.', 'Pour batter into an 8x4 inch loaf pan. Bake at 350 degrees F (175 degrees C) for 30 minutes or until a toothpick inserted into the center of cake comes out clean.']","{'Calories': '272', 'Fat': '10g', 'Carbs': '41g', 'Protein': '4g'}"
Awesome Egg Salad with a Kick,4.5,8,15 mins,"['12 large hard-cooked eggs, peeled and chopped', '½ cup light mayonnaise', '½ cup low-fat sour cream', '¼ cup real bacon bits', '3 tablespoons Dijon mustard', '2 tablespoons prepared horseradish', '2 tablespoons chopped red onion', '¼ teaspoon paprika', 'salt and pepper to taste']","Try this egg salad with sour cream, crumbled bacon, Dijon mustard, and horseradish for a tangy, salty kick in every bite. Serve on lightly toasted wheat rolls with lettuce and tomato.","['Mix eggs, mayonnaise, sour cream, bacon bits, Dijon, horseradish, onion, paprika, salt, and pepper together in a bowl until well combined. Serve immediately, or refrigerate until ready to serve.']","{'Calories': '174', 'Fat': '11g', 'Carbs': '7g', 'Protein': '12g'}"
Egg Salad Sandwiches,4.2,4,8 hrs 10 mins,"['8  hard-cooked eggs, diced', '1 cup mayonnaise', '¼ cup dried onion flakes', '½ teaspoon salt', '1 teaspoon mustard powder', '¼ teaspoon garlic powder', '¼ teaspoon black pepper', '1 teaspoon dill weed', '8 slices white bread']","Mustard powder, dill weed, garlic powder, and onion flakes are combined in this amazing egg salad. I've always had rave reviews of this great sandwich salad. Best served chilled, on white or wheat bread.","['In a bowl, gently mix the eggs, mayonnaise, onion flakes, salt, mustard powder, garlic powder, pepper, and dill. Cover, and refrigerate 8 hours, or overnight. To serve, spread equal amounts on 4 slices bread; top with remaining bread slices to make sandwiches.']","{'Calories': '701', 'Fat': '56g', 'Carbs': '32g', 'Protein': '18g'}"
Southwest-Style Egg Rolls,4.4,8,20 mins,"['¼ cup olive oil', '¼ cup chopped green onion', '8 cups fresh baby spinach', '1 cup frozen corn', '1 (15 ounce) can black beans, drained', '1 tablespoon fresh lime juice', '½ teaspoon salt', '1 teaspoon ground cumin', '6 ounces Monterey Jack cheese, shredded', '1 (14 ounce) package egg roll wrappers', 'vegetable oil for frying']","Corn, black beans, cumin, and Monterey Jack cheese lend Southwestern flavor to these fried egg rolls. They're perfect for parties. Serve with salsa or ranch dressing, or combine equal amounts of salsa and ranch dressing for a different taste.","['Heat olive oil in a skillet over medium heat. Stir in onions, and cook until tender. Stir in spinach, corn, black beans, and lime juice. Season with salt and cumin. Remove from heat, and stir in cheese.', 'Place 1/4 cup of filling in the center of each egg roll wrapper. Fold in the sides, and roll egg rolls; dampen the edges with a small amount of water to seal.', 'In a large heavy skillet, heat enough vegetable oil to cover egg rolls over medium-high heat. Working in batches, carefully place egg rolls in hot oil, and cook until golden brown. Remove to paper towels.']","{'Calories': '358', 'Fat': '20g', 'Carbs': '34g', 'Protein': '12g'}"
